id,name,category,sub_category,definition_or_measurement,primary_data_level,data_source,dimensions,privacy_notes,status
X104,Language-pair fairness gap,Privacy and security,Fairness,Difference in success latency and feedback outcomes by language pair,model evaluation,"translation_quality;feedback","language pair;model",Minimum group size and no sensitive inference,candidate
X105,Script fairness gap,Privacy and security,Fairness,Difference in outcomes by writing script,model evaluation,"translation_quality;feedback","script;model",Minimum group size,candidate
X106,Audio-format fairness gap,Privacy and security,Fairness,Difference in outcomes by audio format,model evaluation,translation_quality,"audio format;model",Minimum group size,candidate
X107,Volunteered-context fairness gap,Privacy and security,Fairness,Difference in outcomes by voluntarily supplied use context,model evaluation,"translation_quality;feedback","context;model",Voluntary data and minimum group size,candidate
X108,Underrepresented language coverage,Privacy and security,Fairness,Languages or pairs below representation threshold,model evaluation,translation_quality,"language pair;time window",No ranking without adequate sample,candidate
X109,Group sample-size compliance,Privacy and security,Fairness,Share of displayed groups meeting minimum sample threshold,model evaluation,Analysis layer,"dimension;threshold",Suppress small groups,candidate
X110,Model routing decision,Model and experiments,Model operation,Recorded model routing decision,translation_quality,translation_quality,"provider;model;deployment",No content required,candidate
X111,Model fallback rate,Model and experiments,Model operation,Model fallbacks divided by model attempts,translation_quality,translation_quality,"stage;model;deployment",Record bounded attempt chain,candidate
X112,Prompt glossary configuration version,Model and experiments,Model operation,Effective prompt glossary and configuration version,translation_quality,translation_quality,"model;deployment",Store identifiers and hashes not content,candidate
X113,Model drift from gold corpus,Model and experiments,Model operation,Change in gold-corpus quality over time,model evaluation,Gold corpus,"model;language pair;time window",Frozen corpus and rubric,candidate
X114,Deployment quality regression,Model and experiments,Model operation,Quality regression after deployment,model evaluation,"release;model evaluation","deployment;model",Use frozen baseline,candidate
X115,Quality-cost-latency Pareto position,Model and experiments,Model operation,Trade-off frontier across quality cost and latency,model evaluation,"model evaluation;operations","model;deployment",Document weighting and evidence,candidate
X116,Inconclusive experiment rate,Model and experiments,Model operation,Experiments without sufficient evidence divided by completed experiments,experiment,Experiment analysis,"experiment type;model",Report sample size and interval,candidate
X117,Experiment traffic-split accuracy,Model and experiments,Experiment quality,Actual traffic share compared with planned split,experiment,Experiment telemetry,"experiment;arm",No content required,candidate
X118,Experiment randomisation integrity,Model and experiments,Experiment quality,Whether random assignment is balanced and valid,experiment,Experiment telemetry,"experiment;arm",No content required,candidate
X119,Experiment arm crossover rate,Model and experiments,Experiment quality,Assignments crossing experiment arms contrary to design,experiment,Experiment telemetry,"experiment;arm",Use pseudonymous IDs only,candidate
X120,Experiment sample size,Model and experiments,Experiment quality,Eligible and analysed samples per experiment arm,experiment,Experiment analysis,"experiment;arm;language pair",Report exclusions,candidate
X121,Experiment dropout bias,Model and experiments,Experiment quality,Difference in dropout by experiment arm,experiment,Experiment analysis,"experiment;arm",Report confidence intervals,candidate
X122,Experiment feedback-response bias,Model and experiments,Experiment quality,Difference in feedback response by experiment arm,experiment,Experiment analysis,"experiment;arm",Report response rates,candidate
X123,Experiment guardrail breach rate,Model and experiments,Experiment quality,Guardrail breaches during experiment,experiment,Experiment telemetry,"experiment;guardrail",No content required,candidate
X124,Experiment decision time,Model and experiments,Experiment quality,Time from experiment start to documented decision,experiment,Experiment records,"experiment;type",No content required,candidate
X125,Incident detection time,Connectivity resilience and operations,Support and incidents,Time from incident onset to detection,operations,Incident system,"service;incident type",No content required,candidate
X126,Incident acknowledgement time,Connectivity resilience and operations,Support and incidents,Time from detection to acknowledgement,operations,Incident system,"service;incident type",No content required,candidate
X127,Incident mitigation time,Connectivity resilience and operations,Support and incidents,Time from detection to mitigation,operations,Incident system,"service;incident type",No content required,candidate
X128,Incident resolution time,Connectivity resilience and operations,Support and incidents,Time from detection to resolution,operations,Incident system,"service;incident type",No content required,candidate
X129,Incident recurrence rate,Connectivity resilience and operations,Support and incidents,Repeated incidents divided by incidents,operations,Incident system,"service;incident type",No content required,candidate
X130,Incident telemetry sufficiency,Connectivity resilience and operations,Support and incidents,Incidents with sufficient telemetry divided by incidents,operations,"incident system;telemetry","service;incident type",No content required,candidate
X131,Support reproduction success rate,User feedback and support,Support and incidents,Support cases successfully reproduced divided by support cases,operations,"support case;telemetry","error class;client",Use pseudonymous linkage only,candidate
X132,Incident user-communication quality,User feedback and support,Support and incidents,Voluntary rating or audit of user communication during incidents,operations,"incident system;feedback","incident type;tenant",No content required,candidate
X133,Active tenant count,Product outcome,Tenant and product health,Count of active tenants,tenant,Tenant administration,"time window;plan",Aggregate only,candidate
X134,Repeat-use rate,Product outcome,Tenant and product health,Share of tenants or permitted pseudonymous actors returning,tenant,"session_quality;tenant administration","tenant;time window",Use permitted pseudonyms only,candidate
X135,Use intensity,Product outcome,Tenant and product health,Messages or conversations per active tenant,tenant,"session_quality;tenant administration","tenant;time window",Aggregate only,candidate
X136,Language-pair coverage,Product outcome,Tenant and product health,Active language pairs and their usage coverage,tenant,translation_quality,"tenant;language pair",Minimum group size,candidate
X137,Quota utilisation,Product outcome,Tenant and product health,Consumed quota divided by allocated quota,tenant,"tenant administration;operations","tenant;quota type",Aggregate only,candidate
X138,Quota exceedance rate,Product outcome,Tenant and product health,Quota exceedances divided by quota evaluation periods,tenant,"tenant administration;operations","tenant;quota type",Aggregate only,candidate
X139,Session value-signal rate,Product outcome,Tenant and product health,Sessions with defined value signal divided by eligible sessions,tenant,"session_quality;survey","tenant;use case",Define signal without content,candidate
X140,Support load per tenant,Product outcome,Tenant and product health,Authorised support cases relative to tenant activity,tenant,"support case;session_quality","tenant;time window",Avoid problematic tenant rankings,candidate
